"n_bldgs","res_units","res_area","boro_code","tract"
478,2342,1965740,3,18100
472,1181,946850,3,18200
341,1374,1351425,3,18300
461,921,720240,3,18400
62,1272,1246421,3,18501
346,771,723783,3,18600
183,624,565649,3,18700
442,955,1017325,3,18800
506,1596,1502502,3,19000
438,1512,1327761,3,19100
382,802,792862,3,19200
76,2612,2807294,3,19300
370,1072,916895,3,19400
245,1894,1993217,3,19500
510,1549,1299442,3,19600
328,1839,1900388,3,19700
368,698,699705,3,19800
296,2300,2031300,3,19900
442,775,794793,3,20000
511,2104,1892230,3,20100
456,733,773044,3,20200
319,895,912101,3,20300
464,701,803693,3,20400
357,1608,1435066,3,20500
444,822,949006,3,20600
280,2280,2268115,3,20700
454,1064,1035104,3,20800
435,1339,1208873,3,21000
241,999,942507,3,21100
458,1368,1171732,3,21200
83,1858,1821042,3,21300
278,593,614213,3,21400
159,2702,2640083,3,21500
432,1077,1429696,3,21600
175,1924,1569666,3,21700
477,1189,1277781,3,21800
355,1973,1710872,3,21900
488,1446,1687389,3,22000
356,1721,1414607,3,22100
435,1522,1781901,3,22200
485,1543,1681863,3,22400
301,680,610968,3,22600
495,2219,1908675,3,22700
334,870,872544,3,22800
507,1798,1553384,3,22900
409,1205,1223770,3,23000
363,1688,1601922,3,23100
649,1765,2077698,3,23200
392,2277,2133965,3,23300
391,1636,2142759,3,23400
276,1675,1785205,3,23500
347,1798,2352494,3,23600
406,1532,1955098,3,23800
404,1494,1871831,3,24000
279,1472,1235716,3,24100
405,1001,1370671,3,24200
471,1900,1671291,3,24300
462,1002,1111832,3,24400
540,1812,1628442,3,24500
515,1022,1078328,3,24600
279,1171,1036832,3,24700
427,862,782854,3,24800
514,1793,1587741,3,24900
298,525,441144,3,25000
331,1587,1377511,3,25100
485,1828,1622538,3,25200
405,1428,1259932,3,25300
479,1155,1103848,3,25400
3,1372,1600192,3,25500
470,1038,993110,3,25600
269,909,912420,3,25700
450,1625,1566756,3,25800
159,721,660476,3,25901
1,1046,8e+05,3,25902
492,1192,1121402,3,26000
577,2556,2309318,3,26100
446,848,837228,3,26200
243,858,719082,3,26300
549,1635,1400293,3,26400
451,1632,1509776,3,26500
487,1183,1156345,3,26600
574,1808,1576993,3,26700
460,1499,1539781,3,26800
349,1292,1131853,3,26900
257,928,1009030,3,27000
371,1446,1432553,3,27100
322,1221,1239650,3,27200
319,1340,1309723,3,27300
408,1037,1039396,3,27400
524,1641,1453162,3,27500
348,1227,1081024,3,27600
337,1640,1464000,3,27700
295,1227,1178942,3,27800
535,1589,1371904,3,27900
260,683,529873,3,28000
281,1962,2333038,3,28100
366,1269,1062744,3,28200
259,1628,1462197,3,28300
356,1428,1396324,3,28400
48,286,183991,3,28501
4,1613,1354815,3,28502
213,2096,1738034,3,28600
298,2850,1283311,3,28700
327,1226,1213067,3,28800
410,1821,1338595,3,28900
276,1596,1614591,3,29000
438,1422,1192391,3,29100
184,1013,1032011,3,29200
337,1406,1267645,3,29300
123,611,539803,3,29400
599,1750,1517460,3,29500
401,2264,2274876,3,29600
530,1431,1315970,3,29700
469,1297,1264269,3,29800
309,939,889596,3,29900
483,1359,1229521,3,30000
515,1088,912722,3,30100
606,1511,1231750,3,30200
433,2512,1816614,3,30300
492,1622,1413479,3,30400
500,4064,2738312,3,30500
342,740,660253,3,30600
389,2266,1879869,3,30700
292,865,912738,3,30800
246,811,713162,3,30900
364,1250,1106727,3,31100
377,2183,2081506,3,31300
533,2115,2207829,3,31400
387,2585,2188246,3,31500
314,1681,1659316,3,31701
370,1583,1368524,3,31702
245,1401,1414734,3,31900
230,2282,2273356,3,32100
290,1441,1455323,3,32300
125,2521,2535655,3,32500
501,2460,2388540,3,32600
272,1460,1404421,3,32700
576,1079,1068821,3,32800
272,2371,2317213,3,32900
113,1808,1511892,3,33000
268,1510,1596930,3,33100
394,1336,1697653,3,33300
452,904,1344423,3,33500
976,1968,2073141,3,33600
422,1563,1741165,3,33700
466,1931,1969160,3,33900
23,545,453392,3,34000
155,1026,1171822,3,34100
75,3342,3226778,3,34200
257,2031,1862619,3,34300
350,1030,942724,3,34500
225,1530,1354947,3,34700
420,878,729502,3,34800
298,2143,2030902,3,34900
32,1768,1736700,3,35000
312,1821,1736506,3,35100
124,519,373812,3,35200
327,1959,1909174,3,35300
22,2916,3094753,3,35400
175,1885,1889390,3,35500
1,1547,1800000,3,35601
20,2983,3112961,3,35602
108,993,892149,3,35700
321,2331,2232088,3,35900
60,1856,1763112,3,36001
53,2233,2327516,3,36002
242,985,864433,3,36100
444,1554,1122497,3,36200
509,2111,2266166,3,36300
307,1064,928447,3,36400
202,1615,1129880,3,36501
231,538,499932,3,36502
311,1474,1215949,3,36600
222,502,378872,3,36700
586,2181,1875496,3,36900
594,1650,1496890,3,37000
607,1684,1471765,3,37100
439,1893,1629514,3,37300
412,1960,1754757,3,37401
308,2260,1916862,3,37402
424,1606,1466348,3,37500
568,1668,1455128,3,37700
510,1521,1349237,3,37900
441,2462,2250932,3,38100
139,2105,1731050,3,38200
638,1820,1508563,3,38300
486,1546,1361009,3,38500
625,1238,1023104,3,38600
496,1824,1611999,3,38700
495,1508,1343696,3,38800
308,1296,1120060,3,38900
385,851,900655,3,39000
241,2141,1801734,3,39100
366,1102,1132782,3,39200
435,1769,1505914,3,39300
417,832,1141531,3,39400
419,1747,1471259,3,39500
385,771,1067744,3,39600
429,1439,1282794,3,39700
478,906,785177,3,39800
380,1346,1247855,3,39900
509,1123,997932,3,40000
458,1316,1119109,3,40100
428,905,776313,3,40200
521,1390,1278433,3,40300
375,866,775036,3,40400
275,658,563322,3,40500
453,1150,992061,3,40600
2,0,0,3,40700
479,1083,933835,3,40800
370,1292,1099587,3,40900
331,718,669490,3,41000
395,1173,992789,3,41100
398,1081,1028306,3,41200
478,1314,1245590,3,41300
199,523,692318,3,41401
204,733,1165986,3,41402
507,1291,1118686,3,41500
365,824,984407,3,41600
211,1382,1265296,3,41700
299,957,1201228,3,41800
329,1390,1375426,3,41900
350,576,726593,3,42000
414,1471,1356947,3,42100
522,1222,1406111,3,42200
443,1534,1419643,3,42300
407,1379,1311458,3,42400
267,1346,1171236,3,42500
451,1491,1389433,3,42600
394,1859,1559807,3,42700
371,1449,1492879,3,42800
358,1998,1627372,3,42900
264,1336,1253302,3,43000
403,1739,1354933,3,43100
366,1460,1338968,3,43200
282,1386,1206846,3,43300
327,1357,1363984,3,43400
467,1367,1278189,3,43500
339,1572,1450189,3,43600
