"lon","lat","boro_ct201","avg_price_1y","sd_price_1y","med_price_1y","n_sales_1y","avg_price_3y","sd_price_3y","med_price_3y","n_sales_3y","avg_price_5y","sd_price_5y","med_price_5y","n_sales_5y","year","n_bldgs","res_units","res_area","bldg_age"
-73.92350369,40.84046563,"2021100",237.055653083577,101.003988617014,241.554054054054,7,193.932214382711,83.2394578580656,177.554035567715,23,171.778700272986,79.9238543371425,145.610119047619,33,2017,194,2079,2116297,75.3742690058479
-73.87470072,40.72905221,"4050500",518.428457072636,132.367386999579,535.096843615495,8,395.258808130738,181.840280626163,341.275521439582,18,377.675802584236,156.290651271798,319.803897431711,26,2017,293,654,628999,63.9822695035461
-73.86353399,40.85349221,"2022800",145.846387512766,57.2387720786353,136.426678780537,6,149.383791229498,65.5951278726463,121.889763779528,30,495.888704720999,2063.95665762526,113.574803149606,46,2017,199,2506,2492551,70.5508021390374
-73.86601832,40.84928889,"2023000",253.766886367274,78.4994330217468,225.258114848279,14,215.070954414304,71.556108169434,198.606710829493,34,197.714463824584,66.7804392973764,189.790761052274,50,2017,277,1008,903642,77.4274509803922
-73.9013821,40.87839865,"2027700",364.386610325584,469.231324400838,202.061538461538,9,232.273429194709,239.30274772577,196.523053665911,37,262.4226620165,388.111900344408,190.678349539617,60,2017,212,1817,1801457,95.5343915343915
-73.85750853,40.84622013,"2024400",262.360605976304,74.8631931489622,248.335893497184,19,245.865606107632,68.7703657195306,241.848633392751,46,236.069261998331,76.3114454810209,230.94688221709,73,2017,394,843,782491,74.0103896103896
-73.90316575,40.87385798,"2027300",208.66626536988,83.818608449154,183.976654728744,19,190.243713899069,75.2033037986536,173.74960660726,54,177.251373186943,68.2489050380518,158.512675379181,78,2017,244,2661,2813342,81.0438596491228
-73.85985232,40.89302055,"2042000",244.556393124872,95.2201067969901,240.295748613678,5,219.9228280413,88.7055450560423,196.647324306899,25,412.359241689806,1147.94333687218,186.363529263084,36,2017,191,1450,1286488,79.75
-73.86169053,40.88974302,"2040800",202.839328827459,63.981825647697,192.732246709519,16,200.330782624254,61.8036267112714,183.916480008239,36,269.653508186279,605.671029213878,176.190476190476,55,2017,236,1582,1418411,81.3562231759657
-73.92040585,40.84307729,"2021302",173.88752279949,18.2428344805721,171.802054154995,5,163.741733927462,51.5717518432696,170.516411692882,12,508.378205893863,1249.40838539089,175.901027077498,14,2017,135,2210,2093558,75.390243902439
-73.94734503,40.69821797,"3025700",505.531523578281,154.594715125356,510.277777777778,6,404.12792474981,188.730154290181,411.522633744856,25,321.253246439179,161.484477494194,292.647058823529,54,2017,269,909,912420,46.7265625
-73.71963407,40.73854386,"4157101",444.847222669069,116.614380634666,445.261437908497,91,419.367227350923,115.491290243563,410.846343467543,277,398.263001200582,117.132363920434,388.127853881279,427,2017,1831,2550,2811337,68.3594950603732
-73.90122656,40.86935122,"2026701",295.126825043654,146.897887314909,239.652688548846,4,230.373918396011,101.644730971003,209.845646738789,12,760.34794571679,1570.29503888112,188.701923076923,17,2017,54,1393,1435673,95.9038461538462
-73.87457319,40.70448362,"4063301",468.130302691395,88.9262797840487,467.432950191571,7,382.376911405374,89.2038264259488,362.5,27,351.59474008666,93.4301026021943,326.949786324786,44,2017,355,614,591510,88.8793103448276
-73.87141132,40.70539303,"4063302",454.029193121101,157.250544450116,442.47432605905,16,384.687584416487,140.026455448709,382.011605415861,41,345.121214587725,129.673505140277,344.595532971701,74,2017,407,640,643103,92.5569306930693
-73.81920882,40.76381763,"4116300",505.502630257021,211.698465174367,524.201949961132,44,477.825831277187,198.284836230691,505.534159801026,106,435.967464995763,189.951089378777,439.429928741093,165,2017,319,2978,2751615,52.5480769230769
-73.82037097,40.77481584,"4104700",374.953429493372,186.959488776183,322.164516669459,66,365.362541646062,179.730827388578,348.299547662925,188,336.06101224938,170.155452071787,306.122448979592,327,2017,1329,2874,3173523,63.8899082568807
-73.82075528,40.76863972,"4115900",404.531732044676,200.20375906107,376.895747206418,22,377.976926460977,182.600053987834,328.752537784796,61,353.861729799024,167.131417193686,296.82869096381,96,2017,429,1423,1608943,80.1012048192771
-73.88275873,40.84454081,"2036300",201.373422931026,77.9489872012757,178.166504697117,7,174.373248531695,58.9587563957023,160.758366611155,34,200.945819547311,132.985191596005,158.551447066658,56,2017,273,2673,2530065,58.0627802690583
-73.9104839,40.84399463,"2022703",0,0,0,0,168.319328548846,13.4534767930249,170.865065416911,3,155.286557532509,28.2856236747697,162.319961087289,4,2017,17,713,495150,80.9411764705882
-73.91331602,40.8445175,"2022702",0,0,0,0,0,0,0,0,0,0,0,0,2017,22,557,520513,82.2222222222222
-74.18982676,40.54320459,"5017009",345.333092885662,97.2617207008717,318.51227568359,34,317.074658024026,85.7442782231379,311.081871345029,122,310.366464395449,83.3357158172652,301.160960251869,188,2017,1278,1730,2380034,41.6950294860994
-73.87128922,40.7679667,"4035700",455.669867956218,151.918857761844,444.444444444444,39,395.181124408866,129.634338966157,389.938009718545,112,364.499232892675,127.949761688157,363.803475935829,196,2017,841,1256,1249379,70.6968215158924
-73.95928356,40.78019611,"1015001",1344.21945458046,976.30952740362,1106.53841981982,26,1493.75775072138,1107.10984852527,1158.70414319328,80,1468.71198761402,1052.80286022012,1154.29248603371,142,2017,38,1394,2625756,85.7777777777778
-73.84952276,40.82544348,"2009800",247.48191312571,66.7902476130065,255.718475073314,34,221.430008131599,66.6408912669514,205.535619351409,78,208.773932775769,67.0946613330322,195.126353790614,120,2017,783,1935,1972202,74.6908850726552
-73.83226845,40.68091408,"4009600",350.706860570771,82.9906252062216,376.387548706919,24,327.814810431528,81.5583214848654,331.707202111614,70,302.087357403986,83.5606892544637,296.165557426211,108,2017,607,836,859536,92.6280991735537
-73.93376061,40.76453016,"4004500",389.885175857844,55.8862816623013,372.41912025541,78,370.77396720601,60.4172143834882,367.071656615821,197,335.114531037867,70.5772197119426,344.235164315549,340,2017,185,1543,1834422,38.1611111111111
-73.92927127,40.76034463,"4005300",599.48596806826,203.023289778358,537.564201957554,22,561.062836171101,223.583501168028,508.395563899319,68,551.937845616781,437.832762371288,469.52736318408,119,2017,514,2589,2073368,78.962226640159
-73.9744996,40.63029275,"3048000",560.35892653523,108.17804132543,601.106770833333,12,525.993967032713,146.609376411603,566.40625,33,489.296822868352,148.848706241139,481.758652946679,47,2017,328,1183,1111614,85.7808641975309
-73.96953672,40.63320239,"3048200",404.432762345065,229.654815087384,281.78916766732,21,361.60984600982,186.483062747644,311.617582000885,67,339.669147566388,286.532597163679,277.921538616375,112,2017,330,2204,1961170,90.9592476489028
-73.9736271,40.63428615,"3048400",472.13831921502,202.985605414364,439.453985028622,17,711.571727774569,2502.5863294468,349.435998038254,62,559.614673084893,1959.91736684487,307.662858487739,102,2017,341,1781,1864159,91.9289940828402
-73.87978404,40.68285485,"3117400",292.958677665883,120.482831360784,286.626951616375,22,234.983531340363,104.612681782838,217.611336032389,61,220.310421397476,93.0768188075561,199.860398308641,94,2017,542,1117,1133697,102.719769673704
